date,close,dividend
2000-10-16,867.099975586,0
2000-10-17,804,0
2000-10-18,802.599975586,0
2000-10-19,798.400024414,0
2000-10-20,826.200012207,0
2000-10-23,796.400024414,0
2000-10-24,808.900024414,0
2000-10-25,808.599975586,0
2000-10-26,793.799987793,0
2000-10-27,783.700012207,0
2000-10-30,741.799987793,0
2000-10-31,746.799987793,0
2000-11-01,763.599975586,0
2000-11-02,782.5,0
2000-11-03,795.400024414,0
2000-11-06,804.599975586,0
2000-11-07,796.299987793,0
2000-11-08,793.099975586,0
2000-11-09,801.099975586,0
2000-11-10,808.299987793,0
2000-11-13,780.700012207,0
2000-11-14,800.900024414,0
2000-11-15,816.400024414,0
2000-11-16,808.599975586,0
2000-11-17,806.799987793,0
2000-11-20,801.700012207,0
2000-11-21,787,0
2000-11-22,771.299987793,0
2000-11-23,728.299987793,0
2000-11-24,735,0
2000-11-27,759.400024414,0
2000-11-28,725,0
2000-11-29,684.5,0
2000-11-30,672.599975586,0
2000-12-01,678.099975586,0
2000-12-04,663.799987793,0
2000-12-05,669.599975586,0
2000-12-06,675.400024414,0
2000-12-07,677.200012207,0
2000-12-08,684.099975586,0
2000-12-11,711.099975586,0
2000-12-12,697.700012207,0
2000-12-13,707.5,0
2000-12-14,708.5,0
2000-12-15,679.400024414,0
2000-12-18,665.700012207,0
2000-12-19,634,0
2000-12-20,589.799987793,0
2000-12-21,560.599975586,0
2000-12-22,526.700012207,0
2000-12-26,525.799987793,0
2001-01-02,557,0
2001-01-03,569,0
2001-01-04,615.099975586,0
2001-01-05,625.200012207,0
2001-01-08,650,0
2001-01-09,678.200012207,0
2001-01-10,639.599975586,0
2001-01-11,675.099975586,0
2001-01-12,713.599975586,0
2001-01-15,765.200012207,0
2001-01-16,777.099975586,0
2001-01-17,750.099975586,0
2001-01-18,745.599975586,0
2001-01-19,772.099975586,0
2001-01-22,833.200012207,0
2001-01-26,800.400024414,0
2001-01-29,813.799987793,0
2001-01-30,827.599975586,0
2001-01-31,843.599975586,0
2001-02-01,827,0
2001-02-02,826.599975586,0
2001-02-05,779.700012207,0
2001-02-06,797.200012207,0
2001-02-07,778,0
2001-02-08,798,0
2001-02-09,807.299987793,0
2001-02-12,831.099975586,0
2001-02-13,840.799987793,0
2001-02-14,853.099975586,0
2001-02-15,873.799987793,0
2001-02-16,863.200012207,0
2001-02-19,872.900024414,0
2001-02-20,876.5,0
2001-02-21,852.5,0
2001-02-22,801.799987793,0
2001-02-23,805.700012207,0
2001-02-26,812.5,0
2001-02-27,781.200012207,0
2001-02-28,767.599975586,0
2001-03-02,719.900024414,0
2001-03-05,743.200012207,0
2001-03-06,735.200012207,0
2001-03-07,753.5,0
2001-03-08,780,0
2001-03-09,765.599975586,0
2001-03-12,723.299987793,0
2001-03-13,685.700012207,0
2001-03-14,720.400024414,0
2001-03-15,712.400024414,0
2001-03-16,713.799987793,0
2001-03-19,713.299987793,0
2001-03-20,713.5,0
2001-03-21,712.700012207,0
2001-03-22,706.400024414,0
2001-03-23,706.099975586,0
2001-03-26,727.700012207,0
2001-03-27,718.599975586,0
2001-03-28,705.799987793,0
2001-03-29,691.400024414,0
2001-03-30,684.299987793,0
2001-04-02,682.900024414,0
2001-04-03,662.400024414,0
2001-04-04,643.400024414,0
2001-04-06,665.099975586,0
2001-04-09,648.099975586,0
2001-04-10,645.599975586,0
2001-04-11,671.799987793,0
2001-04-12,683.200012207,0
2001-04-13,686.200012207,0
2001-04-16,680.700012207,0
2001-04-17,683.099975586,0
2001-04-18,721.900024414,0
2001-04-19,749,0
2001-04-20,735,0
2001-04-23,758.799987793,0
2001-04-24,757.200012207,0
2001-04-25,769.700012207,0
2001-04-26,763.400024414,0
2001-04-27,753.200012207,0
2001-04-30,789.700012207,0
2001-05-02,810,0
2001-05-03,799.900024414,0
2001-05-04,804.799987793,0
2001-05-07,828.400024414,0
2001-05-08,822.700012207,0
2001-05-09,795.900024414,0
2001-05-10,814.099975586,0
2001-05-11,817.200012207,0
2001-05-14,829.299987793,0
2001-05-15,814.799987793,0
2001-05-16,801.200012207,0
2001-05-17,833.200012207,0
2001-05-18,830.299987793,0
2001-05-21,838.099975586,0
2001-05-22,837.799987793,0
2001-05-23,828.599975586,0
2001-05-24,830.099975586,0
2001-05-25,834.299987793,0
2001-05-28,832.200012207,0
2001-05-29,838.099975586,0
2001-05-30,832.200012207,0
2001-05-31,813.5,0
2001-06-01,801.099975586,0
2001-06-04,803.700012207,0
2001-06-05,789.200012207,0
2001-06-07,781.400024414,0
