date,close,dividend
2024-03-18,25.5100002289,0
2024-03-19,22.5400009155,0
2024-03-20,22.1599998474,0
2024-03-21,21.8020000458,0
2024-03-22,22.0230007172,0
2024-03-25,21.75,0
2024-03-26,21.6100006104,0
2024-03-27,21.8999996185,0
2024-03-28,22.1499996185,0
2024-04-01,22.8899993896,0
2024-04-02,21.7600002289,0
2024-04-03,22.1399993896,0
2024-04-04,18.5799999237,0
2024-04-05,19.5799999237,0
2024-04-08,19.4200000763,0
2024-04-09,19.4909992218,0
2024-04-10,18.7399997711,0
2024-04-11,19.4799995422,0
2024-04-12,17.8400001526,0
2024-04-15,17.1900005341,0
2024-04-16,17.8600006104,0
2024-04-17,15.7989997864,0
2024-04-18,15.9899997711,0
2024-04-19,14.2299995422,0
2024-04-22,14.5600004196,0
2024-04-23,15.3299999237,0
2024-04-24,15.1999998093,0
2024-04-25,15.6000003815,0
2024-04-26,16.2800006866,0
2024-04-29,16.8999996185,0
2024-04-30,16.6000003815,0
2024-05-01,13.529999733,0
2024-05-02,13.8500003815,0
2024-05-03,14.6800003052,0
2024-05-06,15.7100000381,0
2024-05-07,15.3999996185,0
2024-05-08,15.2700004578,0
2024-05-09,14.9899997711,0
2024-05-10,14.8900003433,0
2024-05-13,14.6000003815,0
2024-05-14,15.0900001526,0
2024-05-15,16.3600006104,0
2024-05-16,17.0100002289,0
2024-05-17,17.3799991608,0
2024-05-20,17.7600002289,0
2024-05-21,17.3899993896,0
2024-05-22,17.5,0
2024-05-23,16.4500007629,0
2024-05-24,17.6599998474,0
2024-05-28,18.7299995422,0
2024-05-29,17.3400001526,0
2024-05-30,17.6200008392,0
2024-05-31,17.7299995422,0
2024-06-03,16.9699993134,0
2024-06-04,16.2299995422,0
2024-06-05,17.5,0
2024-06-06,17.6200008392,0
2024-06-07,17.7999992371,0
2024-06-10,16.25,0
2024-06-11,15.9499998093,0
2024-06-12,16.1900005341,0
2024-06-13,16.1100006104,0
2024-06-14,16,0
2024-06-17,15.7899999619,0
2024-06-18,15.0200004578,0
2024-06-20,16.3999996185,0
2024-06-21,16.3099994659,0
2024-06-24,16.0900001526,0
2024-06-25,16.0699996948,0
2024-06-26,15.5200004578,0
2024-06-27,15.9200000763,0
2024-06-28,16.4400005341,0
2024-07-01,15.529999733,0
2024-07-02,16.7999992371,0
2024-07-03,16.6900005341,0
2024-07-05,18.3199996948,0
2024-07-08,19.7999992371,0
2024-07-09,19.3899993896,0
2024-07-10,20.9300003052,0
2024-07-11,20.4699993134,0
2024-07-12,20.3500003815,0
2024-07-15,19.9400005341,0
2024-07-16,19.4300003052,0
2024-07-17,15.5200004578,0
2024-07-18,14.7600002289,0
2024-07-19,13.9799995422,0
2024-07-22,14.7600002289,0
2024-07-23,14.4099998474,0
2024-07-24,12.6300001144,0
2024-07-25,11.5200004578,0
2024-07-26,11.7899999619,0
2024-07-29,11.7399997711,0
2024-07-30,11.5100002289,0
2024-07-31,12.5100002289,0
2024-08-01,10.4300003052,0
2024-08-02,10.4099998474,0
2024-08-05,10.779999733,0
2024-08-06,10.0100002289,0
2024-08-07,9.77000045776,0
2024-08-08,10.970000267,0
2024-08-09,10.6199998856,0
2024-08-12,11.0200004578,0
2024-08-13,11.7100000381,0
2024-08-14,11.6400003433,0
2024-08-15,12.7299995422,0
2024-08-16,12.9099998474,0
2024-08-19,14.1000003815,0
2024-08-20,14.3000001907,0
2024-08-21,14.529999733,0
2024-08-22,13.4200000763,0
2024-08-23,13.9799995422,0
2024-08-26,13.0900001526,0
2024-08-27,13.1599998474,0
2024-08-28,12.4499998093,0
2024-08-29,12.279999733,0
2024-08-30,12.7899999619,0
2024-09-03,10.8199996948,0
